Abbreviation,Name,Population
AL,Alabama,4884115
AK,Alaska,741204
AZ,Arizona,7026629
AR,Arkansas,3000942
CA,California,39849872
CO,Colorado,5658546
CT,Connecticut,3583134
DE,Delaware,965866
DC,District of Columbia,697012
FL,Florida,21002678
GA,Georgia,10450316
HI,Hawaii,1454295
ID,Idaho,1695178
IL,Illinois,12815607
IN,Indiana,6663280
IA,Iowa,3152735
KS,Kansas,2929909
KY,Kentucky,4450042
LA,Louisiana,4714192
ME,Maine,1327472
MD,Maryland,6068511
MA,Massachusetts,6873018
MI,Michigan,9935116
MN,Minnesota,5554532
MS,Mississippi,2990113
MO,Missouri,6123362
MT,Montana,1052343
NE,Nebraska,1922610
NV,Nevada,2995973
NH,New Hampshire,1335832
NJ,New Jersey,8996351
NM,New Mexico,2084193
NY,New York,19889657
NC,North Carolina,10247632
ND,North Dakota,790701
OH,Ohio,11646273
OK,Oklahoma,3974794
OR,Oregon,4144527
PA,Pennsylvania,12819975
RI,Rhode Island,1059080
SC,South Carolina,5030118
SD,South Dakota,868799
TN,Tennessee,6705339
TX,Texas,28449186
UT,Utah,3098761
VT,Vermont,624592
VA,Virginia,8492783
WA,Washington,7384721
WV,West Virginia,1834882
WI,Wisconsin,5795147
WY,Wyoming,589713
